Page,Section,Image #,Filename,Dimensions,Priority,Status,AI Prompt
Homepage,Hero Section,1,hero_homepage.png,1920x1080px,High,,"Photorealistic aerial view of a beautiful suburban neighborhood in Raleigh, North Carolina with various residential homes featuring new architectural shingle roofs in different earthy colors (charcoal, brown, gray). Lush green trees, sunny day with blue sky and white clouds. Professional real estate photography style, high resolution, cinematic lighting."
Homepage,Featured Projects,2,project_residential_1.png,800x600px,High,,"Photorealistic exterior shot of a large American colonial-style home with a brand new charcoal gray architectural shingle roof, freshly installed. Clear sunny day, manicured lawn, professional photography angle from sidewalk showing the full roof and house facade. Raleigh, North Carolina suburban setting."
Homepage,Featured Projects,3,project_commercial_1.png,800x600px,High,,"Photorealistic exterior shot of a modern small commercial building or office complex with a new flat TPO commercial roofing system, white membrane roof visible. Professional architectural photography, clear day, clean modern building design. North Carolina business district setting."
Homepage,Featured Projects,4,project_storm_repair.png,800x600px,High,,"Photorealistic photo of professional roofers at work on a residential roof repair after storm damage. Workers wearing safety gear (hard hats, harnesses), actively installing new shingles on a partially completed roof. Clear day, professional work in progress."
Homepage,Before/After Gallery,5,before_storm_damage.png,800x600px,Medium,,"Photorealistic close-up of a damaged residential roof showing hail damage, missing shingles, and weathered asphalt shingles on a typical American home. Overcast day, realistic damage that needs repair."
Homepage,Before/After Gallery,6,after_new_roof.png,800x600px,Medium,,"Photorealistic photo of the same residential home now with a brand new architectural shingle roof in charcoal color, perfectly installed. Sunny day, pristine condition, showing dramatic transformation."
Homepage,Service Area,7,raleigh_service_area.png,800x600px,Low,,"Stylized map illustration of the Raleigh-Durham Triangle area in North Carolina, showing major cities: Raleigh, Cary, Durham, Apex, Wake Forest, Chapel Hill, Garner. Use navy blue and orange brand colors. Modern, clean design with city markers."
About,Team Section,8,team_owner.png,600x800px,High,,"Professional portrait photo of a friendly, confident roofing contractor/business owner, Caucasian or diverse American male in his 40s, wearing a clean company polo shirt (navy blue with orange accents), standing in front of residential roofing work site. Warm smile, trustworthy demeanor."
About,Team Section,9,roofing_team.png,1200x800px,High,,"Professional group photo of a diverse roofing crew of 5-6 workers, mix of men and women, wearing matching company uniforms (navy blue shirts), some with hard hats, standing together in front of a work truck with tools. Everyone smiling, team spirit."
About,Office Section,10,about_office.png,800x600px,Medium,,"Photorealistic interior shot of a modern, clean roofing company office with a consultant meeting with homeowner clients at a desk. Professional setting, showing roofing material samples on the table, large windows with natural light."
About,Certifications,11,certifications_display.png,800x400px,Low,,"Clean, modern display of professional roofing certifications and badges on a white background. Include GAF Master Elite certification, BBB A+ rating, and state licensing. Professional graphic design style."
Service - Residential,Hero,12,residential_roofing.png,1200x800px,High,,"Beautiful American residential home with a stunning new architectural shingle roof in brown/weathered wood color. Large two-story home with garage, landscaping, clear blue sky. Professional real estate photography style."
Service - Residential,Materials,13,shingle_materials.png,800x600px,Medium,,"Professional product photography of various architectural shingle samples laid out on a clean white surface, showing different colors and textures: charcoal gray, weathered wood, slate, desert tan. High-quality material samples."
Service - Commercial,Hero,14,commercial_roofing.png,1200x800px,High,,"Aerial drone view of a commercial building complex with pristine white TPO flat roofing, showing HVAC units neatly arranged. Modern office park or retail plaza in North Carolina. Professional commercial real estate photography style."
Service - Roof Replacement,Hero,15,roof_replacement.png,1200x800px,High,,"Dramatic before-during comparison showing a residential roof being replaced. Left half shows old, worn shingles being removed, right half shows new architectural shingles being installed by professional crew. Action shot."
Service - Roof Repair,Hero,16,roof_repair.png,1200x800px,Medium,,"Close-up action shot of a professional roofer repairing a section of damaged shingles on a residential roof. Worker wearing safety gear, using professional tools, replacing damaged section with matching shingles."
Service - Metal Roofing,Hero,17,metal_roofing.png,1200x800px,Medium,,"Beautiful modern farmhouse-style home with charcoal gray standing seam metal roof, clean lines, professional architectural photography. Dramatic lighting showcasing the sleek metal panels. North Carolina setting."
Service - Storm Damage,Hero,18,storm_damage.png,1200x800px,High,,"Dramatic photo of a residential roof showing visible storm damage - missing shingles, debris, damaged areas - with dark storm clouds clearing in the background. Captures urgency of storm damage repair."
Service - Emergency,Hero,19,emergency_repair.png,1200x800px,High,,"Dramatic action shot of emergency roof repair in progress. Professional roofing crew installing emergency tarp or performing urgent repairs on a damaged roof. Golden hour lighting, sense of urgency."
Service - Inspection,Hero,20,roof_inspection.png,1200x800px,Medium,,"Professional roof inspector with clipboard and safety gear performing thorough inspection on a residential roof. Inspector examining shingles closely, taking notes. Sunny day, attention to detail."
Service - Gutters,Hero,21,gutter_installation.png,1200x800px,Medium,,"Close-up professional photo of brand new seamless aluminum gutters installed on a residential home. Clean white or charcoal gutters with downspout visible, showing clean installation along roofline."
Service - Siding,Hero,22,siding_installation.png,1200x800px,Medium,,"Beautiful residential home exterior with newly installed vinyl siding in a modern gray/blue color. Clean lines, pristine installation, showing the home's complete exterior transformation."
Location - Raleigh,Hero,23,location_raleigh.png,800x600px,Medium,,"Stunning aerial drone photo of downtown Raleigh, North Carolina skyline with modern buildings and suburban neighborhoods stretching toward the horizon. Beautiful sunny day."
Location - Cary,Hero,24,location_cary.png,800x600px,Low,,"Beautiful residential neighborhood in Cary, North Carolina with upscale homes, tree-lined streets, and manicured lawns. Sunny day, quality suburban community character."
Location - Durham,Hero,25,location_durham.png,800x600px,Low,,"Durham, North Carolina cityscape showing mix of historic and modern architecture, Duke University visible in background. Sunny day, vibrant community."
Location - Apex,Hero,26,location_apex.png,800x600px,Low,,"Charming downtown Apex, North Carolina showing historic buildings and small-town character with suburban homes visible in background. Peak of Good Living community feel."
Location - Wake Forest,Hero,27,location_wake_forest.png,800x600px,Low,,"Beautiful Wake Forest, North Carolina showing mix of historic charm and new residential developments. Tree-lined streets, quality homes with nice rooflines."
Location - Garner,Hero,28,location_garner.png,800x600px,Low,,"Residential neighborhood in Garner, North Carolina with well-maintained homes, family-friendly community feel. Sunny day, suburban setting."
Location - Chapel Hill,Hero,29,location_chapel_hill.png,800x600px,Low,,"Chapel Hill, North Carolina showing UNC campus area with surrounding residential neighborhoods. Academic town charm, tree-lined streets."
Location - Morrisville,Hero,30,location_morrisville.png,800x600px,Low,,"Modern suburban development in Morrisville, North Carolina near RTP. New construction homes, contemporary community feel."
Location - Holly Springs,Hero,31,location_holly_springs.png,800x600px,Low,,"Growing community of Holly Springs, North Carolina with new residential developments, family-friendly neighborhood scene."
Location - Fuquay-Varina,Hero,32,location_fuquay_varina.png,800x600px,Low,,"Downtown Fuquay-Varina, North Carolina showing small-town charm with surrounding suburban homes. Community character visible."
Location - Clayton,Hero,33,location_clayton.png,800x600px,Low,,"Residential area of Clayton, North Carolina showing quality homes with nice rooflines, growing suburban community."
Location - Knightdale,Hero,34,location_knightdale.png,800x600px,Low,,"Knightdale, North Carolina suburban neighborhood with well-maintained homes and family-friendly atmosphere."
Location - Wendell,Hero,35,location_wendell.png,800x600px,Low,,"Small town Wendell, North Carolina showing mix of historic and new homes, community character."
Location - Rolesville,Hero,36,location_rolesville.png,800x600px,Low,,"Rolesville, North Carolina residential area with quality homes, growing community near Wake Forest."
Gallery,Before/After Pair 1,37,gallery_before_1.png,800x600px,Medium,,"Old, worn 20-year-old asphalt shingle roof showing age, granule loss, and weathering. Needs replacement, dated appearance."
Gallery,Before/After Pair 1,38,gallery_after_1.png,800x600px,Medium,,"Same house with brand new architectural shingles in charcoal gray. Dramatic transformation, pristine condition."
Gallery,Before/After Pair 2,39,gallery_before_2.png,800x600px,Medium,,"Roof with hail damage visible - pockmarked shingles, dents, storm damage throughout."
Gallery,Before/After Pair 2,40,gallery_after_2.png,800x600px,Medium,,"Complete new roof installation replacing hail-damaged roof. Perfect condition, quality materials."
Gallery,Before/After Pair 3,41,gallery_before_3.png,800x600px,Low,,"Old asphalt shingle roof showing wear, ready for metal upgrade."
Gallery,Before/After Pair 3,42,gallery_after_3.png,800x600px,Low,,"Beautiful new standing seam metal roof in charcoal, dramatic upgrade from shingles."
Gallery,Before/After Pair 4,43,gallery_before_4.png,800x600px,Low,,"Commercial flat roof with ponding water, aging membrane, maintenance issues visible."
Gallery,Before/After Pair 4,44,gallery_after_4.png,800x600px,Low,,"New white TPO membrane on commercial building, clean installation, proper drainage."
Gallery,Before/After Pair 5,45,gallery_before_5.png,800x600px,Low,,"Severe storm damage with missing roof sections, emergency situation visible."
Gallery,Before/After Pair 5,46,gallery_after_5.png,800x600px,Low,,"Completely restored roof after emergency repair, perfect condition."
Gallery,Before/After Pair 6,47,gallery_before_6.png,800x600px,Low,,"Dated light tan/beige shingles, old style, needs modernization."
Gallery,Before/After Pair 6,48,gallery_after_6.png,800x600px,Low,,"Modern charcoal architectural shingles, contemporary look, dramatic color upgrade."
Contact,Header,49,customer_consultation.png,800x600px,Medium,,"Friendly roofing consultant meeting with homeowners at their front door, holding tablet or clipboard. Professional appearance, warm interaction, residential setting."
